Quarter,Fiscal_Year,Date_Range,KPI_Name,Target_Value,Actual_Value,Variance_Pct,Status,RAG,Notes
"Q2","FY27","2026-07-01 to 2026-09-30","BPCL AP Capex Execution Progress","25%","20%","-20%","Behind","RED","EC filing delayed; on-track to file by Aug 31. Expected EC decision Oct-Nov 2026."
"Q2","FY27","2026-07-01 to 2026-09-30","RIL O2C Capex Execution Progress","30%","35%","+17%","Ahead","GREEN","EPC bid evaluation ongoing; contract award on-track for Q1-FY28 (Jan 2027)."
"Q2","FY27","2026-07-01 to 2026-09-30","L&T Bina Capex Execution Progress","40%","45%","+13%","Ahead","GREEN","Equipment procurement underway; Korea supplier on-schedule for reactor vessel."
"Q2","FY27","2026-07-01 to 2026-09-30","BHAVYA Parks Land Acquisition","60%","55%","-8%","Behind","YELLOW","Jharkhand 60% & TN 40% complete. Pace slower than target; state-level coordination needed."
"Q2","FY27","2026-07-01 to 2026-09-30","DGFT TPA Duty Decision","Issued by Aug 31","Pending","0%","Pending","YELLOW","Investigation timeline on-track (18 months since Mar 2026 = Aug 2026). Decision imminent."
"Q2","FY27","2026-07-01 to 2026-09-30","DGFT Dyes Duty Decision","Issued by Aug 31","Pending","0%","Pending","YELLOW","Parallel case with TPA. Both decisions expected same window (Aug-Sep 2026)."
"Q2","FY27","2026-07-01 to 2026-09-30","PLI Pharma Scheme Uptake","50 applications","28 applications","-44%","Low","YELLOW","Pharma companies slower to adopt than expected. Scheme education outreach needed."
"Q2","FY27","2026-07-01 to 2026-09-30","Capex Budget Utilization","18%","15%","-17%","Underspend","YELLOW","YTD capex across 4 projects ~₹26,800 Cr vs plan ₹35,700 Cr. Payout cycle lag normal."
"Q2","FY27","2026-07-01 to 2026-09-30","FY30 Savings Trajectory (Base Case)","$8.3bn","$8.3bn (on-track)","0%","On Track","GREEN","Capex delivery on-track; no impact to base case from Q2 milestones. At-risk case = $7.2bn if delays."
"Q3","FY27","2026-10-01 to 2026-12-31","BPCL AP EC Decision","Approved","TBD (Q3 forecast)","--","Forecast","--","EC decision expected Oct-Nov 2026. If approved: proceed to detailed design (Q4). If rejected: resubmit."
"Q3","FY27","2026-10-01 to 2026-12-31","RIL O2C EPC Contract Award","Contract signed","Forecast","--","Forecast","--","Target Q1-FY28 (Jan 2027); some slip risk if bid evaluation extends."
"Q3","FY27","2026-10-01 to 2026-12-31","L&T Bina Equipment Procurement","80% complete","Forecast","--","Forecast","--","On-track for full procurement by Dec 2026; installation phase begins Q4-FY27."
"Q3","FY27","2026-10-01 to 2026-12-31","BHAVYA Parks Land Acquisition","90% complete","Forecast","--","Forecast","--","Critical path: must reach 90% by Dec 2026 for FY28-29 operationalization target."
"Q4","FY27","2027-01-01 to 2027-03-31","BPCL AP Detailed Design","Finalized","Forecast","--","Forecast","--","Post-EC approval; leads to Q1-FY28 tender for EPC bidding."
"Q4","FY27","2027-01-01 to 2027-03-31","BHAVYA Parks Infrastructure Development","Begins at Jharkhand","Forecast","--","Forecast","--","Once land 100% acquired, site development, utilities, common facilities tender issued."
