Scenario,Sector,Description,FY30_Annual_Savings_INR_Cr,FY30_Annual_Savings_USD_Bn,YoY_Avg_INR_Cr,YoY_Avg_USD_Bn,Status,Execution_Risk,Government_Capex_INR_Cr,Government_Capex_USD_Bn,Expected_Timeline,Key_Dependency
Base Case,Petrochemical Feedstocks,Polymers + Chemicals import substitution (40-50%),64657,7.79,50298,6.06,On-Track,MEDIUM,138514,16.6,FY26-FY30,"BPCL AP cracker, RIL O2C ramp"
Optimistic,Petrochemical Feedstocks,Full substitution + capacity utilization (60%),95450,11.5,75000,9.0,Stretch,HIGH,138514,16.6,FY29-FY30,"All capex on-time, export growth"
Conservative,Petrochemical Feedstocks,Delays in 1-2 major projects (35-40%),50630,6.1,39800,4.8,Downside,MEDIUM,138514,16.6,FY30+,"BPCL/RIL delays, market softness"
Base Case,Ethanol & Petrol Export,E20-E30 blend ramp + freed petrol exports,79587,9.58,15000,1.8,On-Track,MEDIUM,0,0,FY26-FY30,"Feedstock availability, blend ramp"
Optimistic,Ethanol & Petrol Export,E30 full penetration + state SGST locked,89718,10.8,18000,2.2,Stretch,MEDIUM,0,0,FY30,"Policy consistency, export prices"
Conservative,Ethanol & Petrol Export,E20 plateau + policy headwinds,70000,8.4,12000,1.44,Downside,MEDIUM,0,0,FY29-FY30,"Crude price collapse, feedstock"
Base Case,CBG & Renewable Fuels,5 MMTPA CBG by FY30 (SATAT scaling),83000,10.0,10000,1.2,On-Track,MEDIUM,3030,0.365,FY26-FY30,"SATAT deployment, LNG market"
Optimistic,CBG & Renewable Fuels,5+ MMTPA + bio-isobutanol + distillery conversion,116200,14.0,14000,1.68,Stretch,HIGH,3030,0.365,FY30,"Policy stack alignment, investment"
Conservative,CBG & Renewable Fuels,2-3 MMTPA CBG (selective deployment),41500,5.0,8000,0.96,Downside,MEDIUM,3030,0.365,FY30+,"Budget constraint, market uptake"
Total,All Sectors,Base Case - Conservative execution (70%),217874,26.2,75000-95000,9.0-11.5,REALISTIC,MEDIUM,141544,17.0,FY26-FY30,"All pathways + policy alignment"
Total,All Sectors,Optimistic - All capex on-time,301368,36.3,107000-130000,12.9-15.6,UPSIDE,HIGH,141544,17.0,FY29-FY30,"Perfect execution + market growth"
Total,All Sectors,Conservative - 1-2 delays,162130,19.5,60000-73000,7.2-8.8,DOWNSIDE,MEDIUM,141544,17.0,FY30+,"Risk materialization, softness"
INDUTECH Segment,Petrochemical Feedstocks,LLDPE feedstock cost reduction (Saudi → BPCL Bina),19920,2.4,4500,0.54,Critical,HIGH,50000,6.0,FY28-FY30,"L&T Bina commissioning"
HOMETECH Segment,Petrochemical Feedstocks,PE/PET polymer cost reduction,5478,0.66,1200,0.14,Important,MEDIUM,25000,3.0,FY28-FY30,"BPCL AP cracker online"
MOBILTECH Segment,Petrochemical Feedstocks,Specialty polymer cost reduction,5395,0.65,1100,0.13,Important,MEDIUM,20000,2.4,FY28-FY30,"RIL O2C capacity ramp"
BUILDTECH Segment,Petrochemical Feedstocks,Geotextile + specialty cost reduction,3984,0.48,850,0.10,Moderate,MEDIUM,15000,1.8,FY27-FY30,"Capacity + market acceptance"
PACKTECH Segment,Petrochemical Feedstocks,Export-led growth (domestic sourcing leverage),2241,0.27,500,0.06,Growth,LOW,10000,1.2,FY26-FY30,"Existing supply + global demand"
E20 Ethanol Scenario,Ethanol & Petrol Export,E20 30-40% pool penetration,60000,7.23,10000,1.2,Current,MEDIUM,0,0,FY26-FY27,"Blend adoption, infrastructure"
E25 Ethanol Scenario,Ethanol & Petrol Export,E25 40-50% pool penetration,75157,9.05,13000,1.56,Planned,MEDIUM,0,0,FY27-FY28,"Vehicle compatibility, supply"
E27 Ethanol Scenario,Ethanol & Petrol Export,E27 50% pool + State SGST 5% (recommended),79587,9.58,15000,1.8,Recommended,MEDIUM,0,0,FY28-FY29,"State policy alignment"
E30 Ethanol Scenario,Ethanol & Petrol Export,E30 60% pool penetration (flex fleet),89718,10.8,18000,2.16,Frontier,HIGH,0,0,FY29-FY30,"Fleet capability, feedstock"
BPCL Andhra Pradesh,Petrochemical Feedstocks,Greenfield 1.8 MMTPA cracker complex,40000,4.8,8000,0.96,Cornerstone,HIGH,100000,12.0,FY27-FY30,"Environmental clearance"
RIL Oil-to-Chemicals,Petrochemical Feedstocks,2.0 MMTPA integrated polymer chain,35000,4.2,7000,0.84,Major,HIGH,75000,9.0,FY28-FY30,"Project execution, crude access"
L&T BPCL Bina,Petrochemical Feedstocks,1.0 MMTPA LLDPE/HDPE swing unit,15000,1.8,3500,0.42,Critical,HIGH,50000,6.0,FY28-FY29,"Equipment procurement"
BHAVYA Chemical Parks,Petrochemical Feedstocks,3 parks + specialty chemicals,8000,0.96,2000,0.24,Infrastructure,MEDIUM,3030,0.365,FY27-FY30,"Site clearance, state co-invest"
SATAT CBG Programme,Renewable Fuels,5000 plants 5 MMTPA by FY30,83000,10.0,10000,1.2,Scale-Up,MEDIUM,3030,0.365,FY26-FY30,"Policy incentives, economics"
Policy - State SGST on Ethanol,Ethanol & Petrol Export,5% SGST (E27 @ price-neutral),4787,0.576,800,0.1,Revenue,LOW,0,0,FY28-FY30,"State government coordination"
Policy - Import Duty Escalation,Petrochemical Feedstocks,10% (FY26) → 20% (FY30) on polymers,5000,0.6,1000,0.12,Protection,MEDIUM,0,0,FY26-FY30,"WTO compliance, industry feedback"
