Week_Ending,Item,Target_Date,Current_Status,RAG_Status,FY30_Impact_USD_Million,Comment,Owner,Action_Taken,Next_Week_Action,Escalation_Needed
2026-08-09,DGFT TPA Duty Notification,2026-08-31,Pending - Decision Window,RED,220-290,"IMMINENT - Check PIB & DGFT portal daily; deadline for FY30 impact is Sep 30",Commerce Ministry/DGFT,Monitor PIB hourly,Continue daily monitoring,YES if not by Aug 31
2026-08-09,DGFT Dyes Duty Notification,2026-08-31,Pending - Decision Window,RED,210-350,"IMMINENT - Parallel with TPA; expected same week",Commerce Ministry/DGFT,Monitor PIB hourly,Continue daily monitoring,YES if not by Aug 31
2026-08-09,BPCL AP Environmental Clearance Filing,2026-08-31,NOT FILED - URGENT,RED,1300,"CRITICAL DEADLINE THIS WEEK; 6-12 month slip if delayed = FY29 commissioning",BPCL/MoEFCC,Call BPCL IR today,Verify filing via PARIVESH,YES if not filed by Aug 31
2026-08-09,RIL O2C EPC Bid Evaluation,2027-01-31,On Track - 5-6 bidders,GREEN,2000,"Capex spend rate 35% vs 30% plan = AHEAD; contract award Q1-FY28",RIL/EPC Contractors,Track bid progress,Monitor earnings calls,NO - on track
2026-08-09,BHAVYA Parks Land Acquisition,2026-10-31,Slow Pace - 55% avg (JK 60% TN 40%),YELLOW,400,"Pace below 90% target for Q3; 30% acceleration needed by Sep 30",Ministry of Textiles/IIDCL/SIPCOT,Weekly state-level updates,Escalate if <70% by Sep 30,MONITOR - escalate if <70% by Sep 30
2026-08-09,L&T Bina LLDPE Equipment Procurement,2026-12-31,On Track - 45% complete,GREEN,900,"Korea supplier on schedule; no geopolitical disruptions reported",L&T/Suppliers,Track delivery schedule,Monitor installation kickoff Q4,NO - on track
2026-08-09,QCO Case Verification,2026-09-15,Unconfirmed - TBD,YELLOW,150-250,"Requires DGFT portal audit; HSN codes & case status unclear",User/DGFT,First audit (skip this week),Verify via DGFT portal,MONITOR - audit monthly
2026-08-09,ANTU Case Verification,2026-09-15,Unconfirmed - TBD,YELLOW,80-120,"Possible organic intermediates umbrella case; initiation date TBD",User/DGFT,First audit (skip this week),Verify via DGFT portal,MONITOR - audit monthly
2026-08-09,Ministry Monthly Reports,2026-10-01,April 2026 Available (653 KB),GRAY,0,"Production data for corroboration; import section TBD",Ministry of Chemicals,Reference only this week,Download Jul 2026 report next month,NO - routine
2026-08-09,News & Policy Monitoring,2026-12-31,Active - Daily Scan,GREEN,0,"PIB, DGFT, Ministry websites monitored daily",User,Daily scan for updates,Continue daily scan,NO - routine
2026-08-09,Overall FY30 Impact Summary,2030-03-31,Base Case On Track,YELLOW,8350,"Base: $8.3bn (capex+PLI); Upside: +$430-1010mn if duties+QCO approved",Strategy Unit,Weekly tracking,Continue escalation protocol,MONITOR 2 critical items
