Date,Category,Title,Source,Relevance,Impact_USD_Million,Notes,Added_Timestamp
2026-08-01,CAPEX PROJECTS,BPCL Athena Project: Environmental Clearance Filing Deadline,BPCL Investor Relations,CRITICAL,1300,EC must be filed by Aug 31 for FY28 commissioning target. Delay = 6-12mo slip to FY29.,2026-08-01 19:05:53
2026-07-25,CAPEX PROJECTS,RIL O2C: EPC Bid Evaluation Status Update,RIL Q1 FY27 Earnings Call,HIGH,2000,5-6 bidders in final evaluation. Contract award target Q1-FY28 (Jan 2027). On-track.,2026-08-01 19:05:53
2026-07-20,CAPEX PROJECTS,L&T Bina LLDPE: Reactor Vessel Fabrication Progress,L&T Investor Presentation,MEDIUM,900,Korea supplier on-schedule. Equipment procurement 45% complete as of Q2. Installation Q4-FY27.,2026-08-01 19:05:53
2026-07-15,CAPEX PROJECTS,BHAVYA Parks: Land Acquisition Status - Pace Slower Than Target,Ministry of Textiles,HIGH,400,"Jharkhand 60% acquired, TN 40%. Target 90% by Q3-FY27 at risk. FY28-29 operationalization at risk.",2026-08-01 19:05:53
2026-08-01,DGFT ANTI-DUMPING,TPA (Terephthalic Acid) Investigation: 18 Months Since Initiation,DGFT Portal,CRITICAL,220,Decision expected Aug-Sep 2026 (NOW). Expected duty: 15-20%. Delay beyond Sep = FY28 implementation.,2026-08-01 19:05:53
2026-08-01,DGFT ANTI-DUMPING,Dyes/Azo Compounds Investigation: Parallel with TPA Case,DGFT Portal,CRITICAL,210,Decision expected Aug-Sep 2026 (IMMINENT). Expected duty: 15-25%. Both decisions likely announced together.,2026-08-01 19:05:53
2026-07-30,DGFT ANTI-DUMPING,QCO/Quinol Case: Status Verification Needed,DGFT Case Database,MEDIUM,150,HSN code & case initiation status unclear. User verification via DGFT portal required.,2026-08-01 19:05:53
2026-07-30,DGFT ANTI-DUMPING,ANTU/Aniline Case: Organic Intermediates Umbrella Case?,DGFT Case Database,MEDIUM,80,May be part of organic intermediates umbrella case. Initiation date & coverage TBD.,2026-08-01 19:05:53
2026-07-25,POLICY & SCHEMES,PLI Scheme Pharma: Lower-Than-Expected Uptake in Q2-FY27,Ministry of Chemicals,MEDIUM,30,Only 28 applications vs. 50 target. Scheme education outreach needed for wider adoption.,2026-08-01 19:05:53
2026-07-15,POLICY & SCHEMES,PCPIR Scheme: Awaiting Budget 2027 Allocation,Ministry of Chemicals (Proposal),MEDIUM,50,"Petroleum Chemicals & Petrochemicals Investment Regions (Orissa, Jharkhand). Framework TBD.",2026-08-01 19:05:53
2026-07-10,POLICY & SCHEMES,Customs Duty Escalation: Budget 2027 Proposal (Pending),Finance Ministry (Proposal),MEDIUM,50,"Proposed: Raw chemical 7.5-10%, downstream 15-18%. Would protect value-addition in polymers, dyes.",2026-08-01 19:05:53
2026-07-20,COMPANY FUNDAMENTALS,"RIL Q1-FY27: O2C Capex Execution on Track, ₹75k cr Investment",Reliance Industries Q1-FY27 Earnings,HIGH,2000,Capex spend rate 35% vs. planned 30%. EPC contract award Q1-FY28. Commissioning FY29-30 on-track.,2026-08-01 19:05:53
2026-07-25,COMPANY FUNDAMENTALS,BPCL Q1-FY27: Athena AP Project Update Pending,BPCL Q1-FY27 Earnings,HIGH,1300,EC filing status critical. Q1-FY27 capex spend rate tracking. FY28 commissioning dependent on EC approval.,2026-08-01 19:05:53
2026-07-15,COMPANY FUNDAMENTALS,Jindal Polyester: TPA Capacity & Capex Plans,Jindal Polyester Investor Relations,MEDIUM,200,Backward integration into TPA production underway. Capex $50-100mn FY27-28. Supports import substitution.,2026-08-01 19:05:53
2026-08-01,IMPORT STATISTICS,Acetic Acid Imports: +81% YoY Surge (FY25-26),TradeStat EIDB,HIGH,294,FY26 imports: $490mn vs. $270mn estimate. Upgraded to Top 15. High-growth chemical deserves monitoring.,2026-08-01 19:05:53
2026-08-01,IMPORT STATISTICS,Chemical Imports from China: 50-75% Concentration Across Most Chemicals,TradeStat Analysis,HIGH,500,Geopolitical risk: US-China tariffs may disrupt supply. Tariff protection via anti-dumping becomes strategic.,2026-08-01 19:05:53
2026-07-20,MARKET DEVELOPMENTS,India-Saudi Petrochemical Trade: Strategic Partnership Discussions,PIB Announcement,LOW,0,Long-term supply security discussions ongoing. Unlikely to affect near-term (FY26-30) substitution targets.,2026-08-01 19:05:53
